'PC   1'
  ,0000       ,0000      5,0000E-02   ,2100       ,3700       ,1000      4,0000E-02  1,0000E-02   ,0000       ,0000       ,0000       ,0000    
  ,0000      2,0000E-02  7,0000E-02  3,0000E-02  1,0000E-02   ,0000       ,0000       ,0000       ,0000       ,0000       ,0000       ,0000    
  ,0000      3,0000E-02  6,0000E-02   ,6100       1,590      7,0000E-02  3,0000E-02   ,0000       ,0000       ,0000       ,0000       ,0000    
 9,0000E-02   ,6600       8,860       2,130       3,700      8,0000E-02  5,0000E-02  1,0000E-02   ,0000       ,0000       ,0000       ,0000    
  ,0000       ,0000      9,0000E-02  3,0000E-02  7,0000E-02  4,0000E-02  2,0000E-02   ,0000       ,0000       ,0000       ,0000       ,0000    
  ,0000       ,2200       ,4300       1,150      6,0000E-02  3,0000E-02   ,0000       ,0000       ,0000       ,0000       ,0000       ,0000    
 4,0000E-02   ,1300      7,0000E-02   1,320       1,430      7,0000E-02  5,0000E-02  1,0000E-02   ,0000       ,0000       ,0000       ,0000    
  ,0000      8,0000E-02   ,1100       ,2000      8,0000E-02  4,0000E-02   ,0000       ,0000       ,0000       ,0000       ,0000       ,0000    
 3,0000E-02   ,0000       ,0000       ,0000       ,1200      2,0000E-02   ,0000       ,0000       ,0000       ,0000       ,0000       ,0000    
 1,0000E-02   ,1200       1,530      5,0000E-02  2,0000E-02   ,0000       ,0000       ,0000       ,0000       ,0000       ,0000       ,0000    
  ,0000       ,0000       ,2700      7,0000E-02  3,0000E-02   ,0000       ,0000       ,0000       ,0000       ,0000       ,0000       ,0000    
  ,0000       ,0000       ,1200      8,0000E-02  5,0000E-02  1,0000E-02   ,0000       ,0000       ,0000       ,0000       ,0000       ,0000    
  ,0000       ,0000       ,0000       ,0000       ,0000       ,0000       ,0000       ,0000       ,0000       ,0000       ,0000       ,0000    
  ,0000      4,0000E-02   ,1100       1,670       1,520       1,320      3,0000E-02   ,0000       ,0000       ,0000       ,0000       ,0000    
  ,0000      8,0000E-02   1,630       3,900       1,420       ,8300      7,0000E-02  1,0000E-02   ,0000       ,0000       ,0000       ,0000    
  ,0000      4,0000E-02   ,8500       3,870       ,9100       1,430      4,0000E-02   ,0000       ,0000       ,0000       ,0000       ,0000    
  ,0000       ,0000       ,1100      4,0000E-02  4,0000E-02  8,0000E-02  1,0000E-02   ,0000       ,0000       ,0000       ,0000       ,0000    
 2,0000E-02  5,0000E-02  3,0000E-02   3,210       2,890      7,0000E-02  3,0000E-02   ,0000       ,0000       ,0000       ,0000       ,0000    
'PC   4'
 7,0000E-02   ,4700       2,170       6,930       ,2200      8,0000E-02   ,0000       ,0000       ,0000       ,0000       ,0000       ,0000    
 4,0000E-02   ,1500       9,060       14,51       ,3300       ,1400       ,0000       ,0000       ,0000       ,0000       ,0000       ,0000    
 8,0000E-02   ,3700       ,7400       23,46       ,7200       ,2700      6,0000E-02   ,0000       ,0000       ,0000       ,0000       ,0000    
  ,0000       ,0000       ,5100       12,02       5,060       6,020       ,2400      2,0000E-02   ,0000       ,0000       ,0000       ,0000    
  ,0000       ,1800       ,0000       ,0000      2,0000E-02   ,1100       ,0000       ,0000       ,0000       ,0000       ,0000       ,0000    
