//------------------------------------------------------------------------------
//
// Sistema de Informações Hidrológicas
// Versão Web 3.0
// © 2001 Agência Nacional de Águas (ANA)
//
// NivelConsistencia: 1 = Bruto, 2 = Consistido
// TipoMedicaoChuvas: 1 = Pluviômetro, 2 = Pluviógrafo, 3 = Data logger
// Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Acumulado
//
// Restrições da consulta:
//   Código da Estação: 2851021
//
//------------------------------------------------------------------------------

//EstacaoCodigo;NivelConsistencia;Data;TipoMedicaoChuvas;Maxima;Total;DiaMaxima;NumDiasDeChuva;MaximaStatus;TotalStatus;NumDiasDeChuvaStatus;TotalAnual;TotalAnualStatus;Chuva01;Chuva02;Chuva03;Chuva04;Chuva05;Chuva06;Chuva07;Chuva08;Chuva09;Chuva10;Chuva11;Chuva12;Chuva13;Chuva14;Chuva15;Chuva16;Chuva17;Chuva18;Chuva19;Chuva20;Chuva21;Chuva22;Chuva23;Chuva24;Chuva25;Chuva26;Chuva27;Chuva28;Chuva29;Chuva30;Chuva31;Chuva01Status;Chuva02Status;Chuva03Status;Chuva04Status;Chuva05Status;Chuva06Status;Chuva07Status;Chuva08Status;Chuva09Status;Chuva10Status;Chuva11Status;Chuva12Status;Chuva13Status;Chuva14Status;Chuva15Status;Chuva16Status;Chuva17Status;Chuva18Status;Chuva19Status;Chuva20Status;Chuva21Status;Chuva22Status;Chuva23Status;Chuva24Status;Chuva25Status;Chuva26Status;Chuva27Status;Chuva28Status;Chuva29Status;Chuva30Status;Chuva31Status;
02851021;2;1/4/1959;1;76,2;272,4;26;12;1;1;0;2043,6;1;0;0;5,4;4,8;18,4;42,6;11;0;0;21,6;0;13,4;0;0;0;21;0;0;0;34,6;13,4;0;10;0;0;76,2;0;0;0;0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
02851021;2;1/5/1959;1;65;151,2;4;9;1;1;0;2043,6;1;0;0;3,8;65;0;0;0;0;0;0;13,2;0;0;0;0;0;2;37,8;1;0;21;1;0;0;0;0;0;0;0;0;6,4;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
02851021;2;1/6/1959;1;117,8;256;22;7;1;1;0;2043,6;1;0;0;0;0;6,2;24,6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;75;117,8;2,4;0;0;24,6;5,4;0;0;0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
02851021;2;1/7/1959;1;12,4;37;5;5;1;1;0;2043,6;1;8,2;0;0;0;12,4;0;0;1,6;9;0;0;0;0;0;0;0;0;0;0;5,8;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
02851021;2;1/8/1959;1;96,4;288,2;14;11;1;1;0;2043,6;1;34;5,4;0;0;0;0;7,4;0;0;0;21,6;0;0;96,4;0;0;0;0;0;0;0;0;0;9,8;6;0;6,4;55;40,2;0;6;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
02851021;2;1/9/1959;1;48,4;213,4;22;10;1;1;0;2043,6;1;10,4;10,6;0;0;0;0;0;0;0;18;30,6;22,8;0;0;0;0;0;0;0;0;11,6;48,4;7,6;0;0;25;28,4;0;0;0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
02851021;2;1/10/1959;1;86,4;158,4;12;6;1;1;0;2043,6;1;0;0;0;9;0;0;0;0;0;0;15;86,4;0;0;18,6;0;0;0;0;0;12,6;0;0;0;0;0;0;16,8;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
02851021;2;1/11/1959;1;6,6;25,9;9;6;1;1;0;2043,6;1;0;0;0;0;0;0;0;0;6,6;0;3;0;0;0;0;0;0;2;0;0;4;0;0;0;3,8;0;0;0;0;6,5;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
02851021;2;1/12/1959;1;48,5;144,1;7;8;1;1;0;2043,6;1;0;0;0;7,6;0;21,4;48,5;6;0;0;0;0;0;0;0;10,4;2,6;0;0;0;0;0;24,2;0;0;0;0;0;0;0;23,4;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
02851021;2;1/1/1960;1;36,4;106;11;5;1;1;0;1628,2;1;0;0;0;0;0;30,4;0;4,8;0;0;36,4;0;0;0;0;0;0;12,8;0;0;0;0;21,6;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
